Cry2Aa,No,,7159,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,Paper not clear which Cry2Aa variant is used,Colin Berry
Cry2Aa,No,,7165,Yes,110,ng/ml, ,0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,Paper not clear which Cry2Aa variant is used,Colin Berry
Cry2Aa,No,,7175,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,Paper not clear which Cry2Aa variant is used,Colin Berry
Cry2Ab2,No,,7159,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,,Colin Berry
Cry2Ab2,No,,7165,Yes,540,ng/ml, ,0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,,Colin Berry
Cry2Ab2,No,,7175,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,,Colin Berry
Cry78Aa1,No,,561076,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not specified,Purified protein,Not specified,no significant mortality at 600 µg/mL,Ruchir and Suresh
Cry78Aa1,No,,195883,Yes,6.89,µg/mL, ,10.1016/j.jip.2018.07.007,,Adult,Not applicable,Purified protein,Membrane feeding,,Ruchir and Suresh
Cry78Aa1,No,,108931,Yes,15.78,µg/mL, ,10.1016/j.jip.2018.07.007,,Adult,Not applicable,Purified protein,Membrane feeding,,Ruchir and Suresh
Cry78Aa1,No,,29058,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not specified,Purified protein,Diet incorporation,no significant mortality at 600 µg/g,Ruchir and Suresh
Cry78Aa1,No,,51655,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not specified,Purified protein,Diet incorporation,no significant mortality at 600 µg/g,Ruchir and Suresh
Cry78Aa1,No,,413239,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not applicable,Purified protein,Diet incorporation,no significant mortality at 600 µg/g,Ruchir and Suresh
